SL,Branch_name,Import_No_of_LC,Import,Export_No_of_LC,Export
226,Pabna ,0,8277,0,16937
227,Puthia ,0,0,0,0
228,Rani Bazar ,0,230,0,0
229,Shaheb Bazar ,0,13703,0,163
230,Bogura ,0,20076,0,5211
231,Dinajpur ,0,0,0,0
232,Gaibandha ,0,0,0,0
233,Joypurhat ,0,52,0,0
234,Kurigram ,0,0,0,0
235,Lalmonirhat ,0,0,0,0
236,Naogaon ,0,6304,0,174
237,Nilphamari ,0,0,0,0
238,Panchagarh ,0,0,0,0
239,Phulbari ,0,2257,0,0
240,Poura Park Market ,0,0,0,0
241,Pulhat ,0,0,0,0
242,Rangpur ,0,2257,0,3115
243,Saidpur ,0,0,0,0
244,Shahjadpur ,0,0,0,0
245,Sirajgonj ,0,84,0,0
246,Station Road ,0,0,0,0
247,Subgacha ,0,0,0,0
248,Thakurgaon ,0,170,0,0
249,Ullapara ,0,0,0,0
250,Head Office,0,0,0,0
,Grand Total,0,800000,0,850000
